,doc_id,doc_x,doc_y,genre
9789402522297,9789402522297,5.5622306,13.76386,romance
9789460410321,9789460410321,7.5285687,0.8169208,suspense general
9789460412165,9789460412165,12.541882,4.09838,Young adult fiction
9789402513264,9789402513264,6.4870415,13.515792,romance
9789402503951,9789402503951,8.658896,12.985638,romance
9789461998637,9789461998637,8.793423,15.342566,romance
9789461705754,9789461705754,7.678059,14.375138,romance
9789402755916,9789402755916,8.584292,11.383953,historical novel (popular)
9789044970722,9789044970722,16.185757,17.592823,Young adult fiction
9789025860905,9789025860905,13.2062645,5.865762,unknown
9789402539622,9789402539622,5.8910213,14.449985,romance
9789402753004,9789402753004,6.702326,17.276161,romance
9789021455020,9789021455020,9.196739,5.384973,"translated literary novel, novella"
9789402530568,9789402530568,9.871562,13.542057,romance
9789025364656,9789025364656,9.4895315,7.3478966,"translated literary novel, novella"
9789461707284,9789461707284,7.875653,13.273486,romance
9789035136861,9789035136861,10.892427,6.228736,unknown
9789035142695,9789035142695,10.836177,6.6735644,unknown
9789029576949,9789029576949,10.504734,6.8842087,thriller
9789460416279,9789460416279,13.134549,3.4764986,suspense general
9789021435923,9789021435923,12.389327,5.811001,literary thriller
9789025869205,9789025869205,13.654256,6.771815,unknown
9789029576819,9789029576819,10.899905,2.661933,"Dutch literary novel, novella"
9789048724765,9789048724765,14.478475,5.899367,unknown
9789048724635,9789048724635,14.130002,6.836124,unknown
9789402536430,9789402536430,9.364466,13.001984,romance
9789402536560,9789402536560,5.9957433,14.631697,romance
9789029576697,9789029576697,10.945793,2.7250936,unknown
9789402753790,9789402753790,10.162621,10.443854,unknown
9789402501476,9789402501476,6.611159,13.929981,romance
9789461998804,9789461998804,10.176411,12.176129,literary thriller
9789044974317,9789044974317,10.982605,10.400206,thriller
9789402755725,9789402755725,9.998259,13.649254,romance
9789029579438,9789029579438,10.085457,9.524392,"translated literary novel, novella"
9789402532791,9789402532791,9.878791,13.851925,romance
9789044625134,9789044625134,10.47129,7.2016945,unknown
9789402542233,9789402542233,7.570868,14.287441,romance
9789402542363,9789402542363,7.9137444,15.174228,romance
9789461995148,9789461995148,9.877273,14.712251,romance
9789461995018,9789461995018,6.7673798,13.770593,romance
9789044962130,9789044962130,9.114526,8.341328,thriller
9789025862572,9789025862572,13.390893,6.1545033,Young adult fiction
9789461703125,9789461703125,7.423528,14.31685,romance
9789044969924,9789044969924,9.526693,9.621192,"translated literary novel, novella"
9789402532005,9789402532005,6.237013,14.12972,romance
9789461708861,9789461708861,7.785564,14.717981,romance
9789021435640,9789021435640,11.026878,4.7062993,"Dutch literary novel, novella"
9789402511987,9789402511987,3.6227384,18.678606,thriller
9789461707369,9789461707369,9.476238,12.092119,suspense pocket
9789461707239,9789461707239,9.213463,13.219571,romance
9789402511659,9789402511659,3.6236305,18.677874,thriller
9789402517095,9789402517095,5.895819,13.916611,romance
9789029582872,9789029582872,11.733421,5.0326095,"Dutch literary novel, novella"
9789402515381,9789402515381,6.2682853,13.969365,romance
9789048724956,9789048724956,15.457184,6.3296165,unknown
9789402524222,9789402524222,6.986311,10.473158,romance
9789402526066,9789402526066,10.423934,13.543562,romance
9789044624113,9789044624113,9.841383,8.911071,"translated literary novel, novella"
9789401602648,9789401602648,8.7022705,9.524943,"translated literary novel, novella"
9789461700216,9789461700216,7.8506255,13.55828,romance
9789461700346,9789461700346,8.887264,12.811974,romance
9789025863555,9789025863555,9.645522,4.309622,"Dutch literary novel, novella"
9789025865399,9789025865399,14.341465,5.9390225,unknown
9789021679501,9789021679501,8.308429,7.6067796,unknown
9789044971866,9789044971866,10.798204,9.064107,thriller
9789048723829,9789048723829,15.43946,6.335527,unknown
9789044968149,9789044968149,6.838946,7.985543,thriller
9789021444451,9789021444451,9.787849,5.7022014,"Dutch literary novel, novella"
9789021446745,9789021446745,12.110473,5.42313,"Dutch literary novel, novella"
9789402500295,9789402500295,9.645303,13.297943,romance
9789401604710,9789401604710,11.962778,11.435447,"translated literary novel, novella"
9789402531336,9789402531336,10.148569,13.36034,romance
9789402759754,9789402759754,9.078862,12.629269,romance
9789461994875,9789461994875,10.58211,12.310823,romance
9789044968903,9789044968903,9.469901,7.7288866,"translated literary novel, novella"
9789402525205,9789402525205,6.857163,10.784654,historical novel (popular)
9789402535860,9789402535860,9.9909,15.344653,romance
9789402541694,9789402541694,5.922071,13.833922,romance
